Book Name,Author,Book Path,Edition
ATLAS OF CREEP AND STRESS,BOYER,LAST1-1.JPG,
ADVANCES IN ROBOT KINEMATICS,THOMAS,LAST1-2.JPG,
FAILURE OF MATERIALS IN MECHANICAL DESIGN,COLLINS,LAST1-3.JPG,2ND
HANDBOOK OF FIBER OPTIC DATA COMMUNICATION,DECUSATIS,LAST1-4.JPG,
FUZZY CONTROL,KRUSE,LAST1-5.JPG,
MECHANICAL VIBRATION ,BENAROYA,LAST1-6.JPG,2ND
VEHICLE REFINEMENT,MATTHEW HARRISON,LAST1-7.JPG,
OPTICAL MICROSCOPY OF FIBER REINFORCED,HAYES ,LAST1-8.JPG,
INFORMATION THEORY,SELIGMAN,LAST1-9.JPG,
MULTIPLE ACCESS PROTOCOLS,AGHVAMI,LAST1-10.JPG,
EMBEDDED NETWORKED SYSTEM DESIGN,KAISER,LAST1-11.JPG,
CMOS-MEMS,HIEROLD,LAST1-12.JPG,
REAL TIME SYSTEMS,BAILEY,"LAST1-13,JPG",
TOOL DESIGN FUNDAMENTALS,ALVAREZ,LAST2-1.JPG,
THERMOSET PLASTICS,GOODMAN,LAST2-2.PNG,
OPTICAL FIBER COMMUNICATIONS,IVAN KAMINOW,LAST2-3.PNG,
SECURITY FOR MOBILE NETWORKS,PRASAD,LAST2-4.PNG,
THE MPEG-4,EBRAHIMI,LAST2-5.PNG,
CHARECTERIZATION AND ANALYSIS OF POLYMERS,WILEY,LAST2-6.PNG,
OPPOSED PISTON ENGINES,FLINT,LAST2-7.PNG,
TELECOMMUNICATION TECHNOLOGY,MINOLI,LAST2-8.PNG,
SOFTWARE ENGINEERING,RAJLIC,LAST2-9.PNG,
NANOELECTRONICS AND INFORMATON TECHNOLOGY,WASER,LAST2-10.PNG,
ADVANCED PROCESS IDENTIFICATION ,IKONEN,REF1-1.PNG,
"ROUTING,FLOW,AND CAPACITY DESIGN",MEDHI,REF1-2.PNG,
MODELLING DIESEL COMBUSTION,AGHAV,REF1-3.PNG,
EMBEDDED SYSTEMS ARCHITECTURE,NOERGAARD,REF1-4.JPG,
IP OVER WDM,DIXIT,REF1-5.PNG,
STABILITY ISSUES IN FUZZY CONTROL,GORDILLO,REF1-6.PNG,
FIBER-REINFORCED COMPOSITES,MALLICK,REF1-7.PNG,
SCRAMJET PROPULSION,CURRAN,REF1-8.PNG,
"SURFACES,CHEMISTRY&APPLICATIONS",CHAUDHURY,REF1-9.PNG,
ANALYTICAL CHARACTERIZATION OF ALUMINIUM,MACKENZIE,REF1-10.PNG,
AUTOMOTIVE VEHICLE SAFETY,PETERS,ref2-1.png,
ULTRAWIDEBAND ANTENNAS,SEHANTZ,ref2-2.png,
APPLIED STATISTICS FOR ENGINEERS,FARNUM,ref2-3.png,
DIGITAL FILTERS DESIGN FOR SIGNAL,NAJIM,ref2-4.png,
ADVANCED ASIC CHIP SYNTHESIS,BHATNAGAR,ref2-5.png,
ULTRA WIDEBAND COMMUNICATION SYSTEM,REED,ref2-6.png,
ENCYCLOPEDIA OF SCIENTIFIC TERMS,GRAHAM,ref2-7.png,
WAVELETS AND SUBBAND,DAS,ref2-8.png,
GLOBAL TELECOMMUNICATIONS,DESURVIRE,ref2-9.png,
ENGINE TESTING,PLINT,ref2-10.png,
COMPOSITE MATERIALS FOR AIRCRAFT STRUCTURE,KELLY,ref2-11.png,
SECURE DATA PROVINENCE AND INTERFERENCE CONTROL,CADENHEAD,ref2-12.png,
ADVANCES IN SYSTEM ENGINEERING,CURRAN,ref2-13.png,
CHEMICAL ANALYSIS OF PLASTIC AND POLYMER,BOLGAR,ref3-1.png,
MICRO ELECTRO MECHANICAL SYSTEM DESIGN,ALL,ref3-2.png,
ALGORITHMS FOR DATA SCIENCE,REDDY,ref3-3.png,
INTRODUCTION TO WLLS ,PANDYA,ref3-4.png,
INTEGRATED LOGISTICS SUPPORT,JONES,ref3-5.png,
IDENTIFICATION AND,CAYUELA,ref3-6.png,
FIFTY AWESOME AUTO PROJECTS,HARPER,ref3-7.png,
MODERN CONTROL ENGINEERING,PANEEKOVOTAUHAD,ref3-8.png,
ENGINEERING ELECTROMAGNETIC COMPATIBILITY,KODALI,ref3-9.png,
APPLICATIONS OF SYNTHETIC RESIN,FINCH,ref3-10.png,
WLANS AND IP NETWORKING,PRASAD,ref3-11.png,
"ELLIPTIC CURVES, MODULAR FORMS AND CRYPTOGRAPHY",NAGRAJ,ref3-12.png,
WILEY ELECTRICAL AND ELECTRONICS ENGINEERING,CAPLAN,ref3-13.png,
COMBUSTION AND EMISSION CONTROL FOR SI ENGINES,JOHNSON,ref3-14.png,
SERVICE OREINTED ARCHITECHTURE,BIEBERSTEIN,ref4-1.png,
COMBINING PATTERN CLASSIFIERS,KUNCHEVA,ref4-2.png,
GRID COMPUTING ,CHAKRAVARTI,ref4-3.png,
GRID COMPUTING ,JANAKIRAM,REF4-4.PNG,
LIMITS,BEARDON,REF4-5.PNG,
WIRELESS COMMUNICATIONS,PENTTINEN,REF4-6.PNG,
COMPUTER CONTROLLED SYSTEMS,LAMPE,REF4-7.PNG,
THE AUTOMOTIVE CHASIS,STOLL,REF4-8.PNG,
CAM DESIGN,NORTON,REF4-9.PNG,
PATTERN ORIENTED SOFTWARE ARCHITECHTURE,BUSCHMANN,REF4-10.PNG,
EMBEDDED SOFTWARE DEVELOPMENT,BERTOLOTTI,REF4-11.PNG,
PROCEEDING OF NCAC'06,MIT,REF4-12.PNG,
PLASMA CHEMISTRY,FRIDMAN,REF4-13.PNG,
VIDEO CODEC DESIGN,RICHARDSON,REF4-14.PNG,
NANO-MICRO INTERFACE,WERNER,REF5-1.PNG,
MULTIVARIABLE SYSTEM IDENTIFICATION,ZHU,REF5-2.PNG,
FUNDAMENTALS OF MOBILE AND PERVASIVE COMPUTING,GUPTA,REF5-3.PNG,
ADVANCED ULTRASONIC METHODS FOR MATERIAL AND STRUCTURE,KUNDU,REF5-4.PNG,
CLOUD DATABASE DEVELOPMENT,CHAO,REF5-5.PNG,
THE PASSENGER CARBODY,DIETER ANSELM,REF5-6.PNG,
CRAFTING A COMPILER WITH C,FISCHER,REF5-7.PNG,
MULTIRATE SIGNAL PROCESSING ,HARRIS,REF5-8.PNG,
CONTROL THEORY AND DESIGN,COLOANERI,REF5-9.PNG,
INTRODUCTION TO FUZZY LOGIC,DEEPA,REF5-10.PNG,
SINTERING,KAN,REF5-11.PNG,
COMPLEX ANALYSIS IN ONE VARIABLE,NIEVERGELT,REF5-12.PNG,
NANOELECTRONIC CIRCUIT DESIGN,CHEN,REF5-13.PNG,
AUTOMOTIVE SAFETY HANDBOOK,WECH,REF5-14.PNG,
INTRODUCTION TO DIGITAL MICROELECTRONIC CIRCUITS,GOPALAN,REF5-15.PNG,
MULTIUSER DETECTION IN CDMA MOBILE TERMINALS,CATOL,REF6-1.PNG,
HANDBOOK OF WIRELESS NETWORKS AND MOBILE COMPUTING,STOJMENOVIC,REF6-2.PNG,
AUTOMOTIVE VEHICLE ASSEMBLY PROCESSES,TAN,REF6-3.PNG,
RULES OF THUMB FOR MECHANICAL ENGINEERS,POPE,REF6-4.PNG,
FUZZING,AMINI,REF6-5.PNG,
NUMERICAL SIMULATION OF REACTIVE FLOW,BORIS,REF6-6.PNG,
BOUNDARY METHODS,MUKHERJ,REF6-7.PNG,
ELECTRONIC MATERIALS AND PROCESSES,HARPER,REF6-8.PNG,
BOUNDARY ELEMENT PROGRAMMING IN MECHANICS,DEVIES,REF6-9.PNG,
USER INTERFACE DESIGN,WOOD,REF6-10.PNG,
ANALYSING REQUIREMENTS AND DEFINING SOLOTION ARCHITECHTURES,MICROSOFT,REF6-11.PNG,
IBM PC AND CLONES,GOVINDARAJALU,REF6-12.PNG,
DIESEL-ENGINE,HSU,REF6-13.PNG,
PHOTOMASK FABRICATION TECHNOLOGY,EINON,REF7-1.PNG,
FUEL CELLS,LI,REF7-3.PNG,
MATERIALS SCIENCE OF THIN FILMS,OHRING,REF7-4.PNG,
OPTICAL AND MICROWAVE TECHNOLOGY FOR TELECOMMUNICATION,STROBEL,REF7-5.PNG,
LIQUID CRYSTALLINE POLYMERS,HANNA,REF7-6.PNG,
ADAPTIVE CONTROL WITH RECURRENT HIGHER ORDER NEURAL NETWORKS,ROVITHAKIS,REF7-7.PNG,
DATA STRUCTURES USING JAVA,JOYCS,REF7-8.PNG,
DESIGN FOR MANUFACTUREABILITY,BRALLA,REF7-9.PNG,
HEAT EXCHANGES,KAKAC,REF7-10.PNG,
LINEAR CIRCUITS AND SYSTEMS,SHYNK,REF7-11.PNG,
